Cell Type,Value,Measurement
Other,-52.4,resting membrane potential
Other,-68.9,resting membrane potential
Other,388.3,input resistance
Other,35.1,rheobase
Neocortex pyramidal cell layer 2-3,82.4,spike amplitude
Neocortex pyramidal cell layer 2-3,18.7,membrane time constant
Neocortex pyramidal cell layer 2-3,205.0,rheobase
Neocortex pyramidal cell layer 2-3,81.3,spike amplitude
Neocortex pyramidal cell layer 2-3,141.2,rheobase
Neocortex pyramidal cell layer 2-3,41.4,AHP duration
Neocortex pyramidal cell layer 2-3,-12.7,AHP amplitude
Neocortex pyramidal cell layer 2-3,42.5,AHP duration
Neocortex pyramidal cell layer 2-3,-11.5,AHP amplitude
Neocortex pyramidal cell layer 2-3,2.5,sag amplitude
Neocortex pyramidal cell layer 2-3,-32.9,spike threshold
Neocortex pyramidal cell layer 2-3,-36.1,spike threshold
Neocortex pyramidal cell layer 2-3,16.4,membrane time constant
Neocortex pyramidal cell layer 2-3,150.2,input resistance
Neocortex pyramidal cell layer 2-3,106.6,input resistance
Neocortex pyramidal cell layer 2-3,1.2,sag amplitude
Neocortex pyramidal cell layer 2-3,-5.3,fast AHP amplitude
Neocortex pyramidal cell layer 2-3,-4.8,fast AHP amplitude
Neocortex pyramidal cell layer 2-3,2.1,spike half-width
Neocortex pyramidal cell layer 2-3,2.2,spike half-width
Neocortex pyramidal cell layer 2-3,-6.7,medium AHP amplitude
Neocortex pyramidal cell layer 2-3,6.88,firing frequency
Neocortex pyramidal cell layer 2-3,6.94,firing frequency
Neocortex pyramidal cell layer 2-3,-7.8,medium AHP amplitude
Neocortex pyramidal cell layer 2-3,-69.5,resting membrane potential
Neocortex pyramidal cell layer 2-3,-66.2,resting membrane potential
Other,-29.2,spike threshold
Other,-60.0,spike max decay slope
Other,1.12,spike half-width
Other,93.2,spike amplitude
Other,212.0,spike max rise slope
Other,59.8,cell capacitance
Other,-33.4,spike threshold
Other,33.3,membrane time constant
Other,23.2,membrane time constant
Other,-13.7,AHP amplitude
Other,116.0,spike max rise slope
Other,618.0,input resistance
Other,-21.4,AHP amplitude
Other,53.3,cell capacitance
Other,-89.0,spike max decay slope
Other,79.5,spike amplitude
Other,-56.0,resting membrane potential
Other,1.49,spike half-width
Other,438.0,input resistance
Other,-51.7,resting membrane potential
Other,23.0,cell capacitance
Other,1.1,input resistance
Other,-55.0,resting membrane potential
Other,6.7,spike width
Other,3.8,spike half-width
Other,104.0,spike amplitude
Other,40.0,spike threshold
Other,-7.8,AHP amplitude
Neocortex basket cell,159.0,input resistance
Neocortex basket cell,106.0,input resistance
Other,53.1,spike max decay slope
Other,63.1,spike max decay slope
Other,105.0,spike max rise slope
Other,88.9,spike max rise slope
Hippocampus CA1 pyramidal cell,61.0,rheobase
Hippocampus CA2 pyramidal neuron,52.0,rheobase
Hippocampus CA3 pyramidal cell,92.0,rheobase
Hippocampus CA1 pyramidal cell,156.5,input resistance
Hippocampus CA2 pyramidal neuron,136.6,input resistance
Hippocampus CA3 pyramidal cell,191.4,input resistance
Hippocampus CA3 pyramidal cell,15.2,ADP amplitude
Hippocampus CA3 pyramidal cell,0.57,spike half-width
Hippocampus CA3 pyramidal cell,29.0,spike peak
Hippocampus CA3 pyramidal cell,-58.1,spike threshold
Hippocampus CA3 pyramidal cell,17.3,sag ratio
Hippocampus CA3 pyramidal cell,204.0,input resistance
Hippocampus CA3 pyramidal cell,-75.0,resting membrane potential
Hippocampus CA3 pyramidal cell,167.0,input resistance
Hippocampus CA3 pyramidal cell,48.4,membrane time constant
Other,1.38,AHP duration
Other,0.82,AHP duration
Other,1.4,AHP duration
Other,1.17,AHP duration
Other,27.0,fast AHP duration
Other,23.6,fast AHP duration
Neocortex pyramidal cell layer 5-6,63.3,resting membrane potential
Other,2.92,slow AHP amplitude
Other,8.08,slow AHP amplitude
Other,9.15,slow AHP amplitude
Other,6.18,slow AHP amplitude
Other,8.59,slow AHP amplitude
Neocortex pyramidal cell layer 2-3,0.4,ADP amplitude
Neocortex pyramidal cell layer 2-3,0.5,ADP amplitude
BNST common spiny neuron,348.5,input resistance
BNST common spiny neuron,628.0,input resistance
BNST common spiny neuron,526.6,input resistance
Hippocampus CA1 IS-I neuron,65.0,adaptation percent (first/last ISI)
Hippocampus CA1 IS-I neuron,67.0,adaptation percent (first/last ISI)
Hippocampus CA1 IS-I neuron,55.0,adaptation percent (first/last ISI)
Hippocampus CA1 IS-I neuron,59.0,adaptation percent (first/last ISI)
Hippocampus CA1 IS-I neuron,52.0,adaptation percent (first/last ISI)
Trigeminal nucleus principal cell,1.0,spike half-width
Trigeminal nucleus principal cell,151.6,rheobase
Trigeminal nucleus motor neuron,0.8,spike half-width
Trigeminal nucleus motor neuron,800.7,rheobase
Trigeminal nucleus motor neuron,459.1,rheobase
Trigeminal nucleus motor neuron,0.7,spike half-width
Trigeminal nucleus motor neuron,-67.4,resting membrane potential
Trigeminal nucleus motor neuron,82.1,spike amplitude
Trigeminal nucleus principal cell,-40.0,spike threshold
Trigeminal nucleus motor neuron,-33.5,spike threshold
Trigeminal nucleus motor neuron,-33.5,spike threshold
Trigeminal nucleus principal cell,83.5,spike amplitude
Trigeminal nucleus motor neuron,-65.5,resting membrane potential
Trigeminal nucleus motor neuron,79.1,spike amplitude
Trigeminal nucleus principal cell,-61.6,resting membrane potential
Trigeminal nucleus motor neuron,35.7,input resistance
Trigeminal nucleus motor neuron,59.1,input resistance
Trigeminal nucleus motor neuron,-4.0,AHP amplitude
Trigeminal nucleus principal cell,-5.4,AHP amplitude
Trigeminal nucleus motor neuron,-3.4,AHP amplitude
Trigeminal nucleus principal cell,132.8,input resistance
Trigeminal nucleus principal cell,115.0,cell capacitance
Trigeminal nucleus motor neuron,185.6,cell capacitance
Trigeminal nucleus motor neuron,142.2,cell capacitance
Oculomotor nucleus motor neuron,88.0,spike amplitude
Oculomotor nucleus motor neuron,-2.8,AHP amplitude
Oculomotor nucleus motor neuron,-59.1,resting membrane potential
Oculomotor nucleus motor neuron,-40.8,spike threshold
Oculomotor nucleus motor neuron,400.0,rheobase
Oculomotor nucleus motor neuron,161.1,cell capacitance
Oculomotor nucleus motor neuron,114.2,cell capacitance
Oculomotor nucleus motor neuron,-4.7,AHP amplitude
Oculomotor nucleus motor neuron,-43.7,spike threshold
Oculomotor nucleus motor neuron,-56.9,resting membrane potential
Oculomotor nucleus motor neuron,0.7,spike half-width
Oculomotor nucleus motor neuron,0.9,spike half-width
Oculomotor nucleus motor neuron,37.2,input resistance
Oculomotor nucleus motor neuron,97.3,input resistance
Oculomotor nucleus motor neuron,162.0,rheobase
Oculomotor nucleus motor neuron,93.7,spike amplitude
Hippocampus CA1 basket cell,61.3,spike amplitude
Dentate gyrus axo-axonic cell,65.3,spike amplitude
Dentate gyrus axo-axonic cell,14.8,AHP amplitude
Hippocampus CA1 basket cell,15.5,AHP amplitude
Hippocampus CA1 basket cell,0.4,spike half-width
Dentate gyrus axo-axonic cell,0.5,spike half-width
Dentate gyrus axo-axonic cell,89.0,cell capacitance
Hippocampus CA1 basket cell,119.0,cell capacitance
Dentate gyrus axo-axonic cell,10.58,membrane time constant
Dentate gyrus axo-axonic cell,111.41,input resistance
Hippocampus CA1 basket cell,70.82,input resistance
Hippocampus CA1 basket cell,9.17,membrane time constant
Other,0.4,spike half-width
Other,64.4,spike amplitude
Other,97.0,cell capacitance
Other,9.68,membrane time constant
Other,17.9,AHP amplitude
Other,117.26,input resistance
Hippocampus CA1 pyramidal cell,53.85,input resistance
Hippocampus CA1 pyramidal cell,53.81,input resistance
Hippocampus CA1 pyramidal cell,86.28,spike amplitude
Hippocampus CA1 pyramidal cell,-59.39,resting membrane potential
Hippocampus CA1 pyramidal cell,-59.44,resting membrane potential
Hippocampus CA1 pyramidal cell,87.94,spike amplitude
Thalamus relay cell,2.23,membrane time constant
Thalamus relay cell,407.89,input resistance
Thalamus relay cell,129.5,cell capacitance
Thalamus relay cell,-72.5,resting membrane potential
Thalamus relay cell,2.53,membrane time constant
Thalamus relay cell,377.48,input resistance
Thalamus relay cell,143.38,cell capacitance
Thalamus relay cell,-70.67,resting membrane potential
Hippocampus CA3 pyramidal cell,-47.89,spike threshold
Hippocampus CA3 pyramidal cell,86.11,spike amplitude from resting
Hippocampus CA3 pyramidal cell,-2.32,sag amplitude
Hippocampus CA3 pyramidal cell,79.99,input resistance
Hippocampus CA3 pyramidal cell,-67.56,resting membrane potential
Hippocampus CA3 pyramidal cell,85.01,input resistance
Hippocampus CA3 pyramidal cell,-68.97,resting membrane potential
Hippocampus CA3 pyramidal cell,-48.26,spike threshold
Hippocampus CA3 pyramidal cell,83.74,spike amplitude from resting
Hippocampus CA3 pyramidal cell,-2.28,sag amplitude
Hippocampus CA3 pyramidal cell,1.16,spike half-width
Hippocampus CA3 pyramidal cell,-50.94,fast AHP amplitude
Hippocampus CA3 pyramidal cell,-53.76,fast AHP amplitude
Hippocampus CA3 pyramidal cell,1.09,spike half-width
Hippocampus CA1 neurogliaform cell,-72.0,spike max decay slope
Hippocampus CA1 ivy neuron,-71.0,spike max decay slope
Hippocampus CA1 neurogliaform cell,-80.0,spike max decay slope
Hippocampus CA1 oriens lacunosum moleculare neuron,72.8,spike amplitude
Hippocampus CA1 oriens lacunosum moleculare neuron,0.6,spike half-width
Hippocampus CA1 oriens lacunosum moleculare neuron,18.9,AHP amplitude
Hippocampus CA1 oriens lacunosum moleculare neuron,144.0,cell capacitance
Hippocampus CA1 oriens lacunosum moleculare neuron,18.14,membrane time constant
Hippocampus CA1 oriens lacunosum moleculare neuron,136.8,input resistance
Neocortex basket cell,65.4,spike amplitude
Neocortex basket cell,71.9,spike amplitude
Neocortex basket cell,11.84,membrane time constant
Neocortex basket cell,9.01,membrane time constant
Neocortex basket cell,16.1,AHP amplitude
Neocortex basket cell,16.6,AHP amplitude
Neocortex basket cell,156.3,input resistance
Neocortex basket cell,119.7,input resistance
Neocortex basket cell,213.2,rheobase
Neocortex basket cell,150.6,rheobase
Neocortex basket cell,-59.7,resting membrane potential
Neocortex basket cell,-61.9,resting membrane potential
Neocortex basket cell,-44.9,spike threshold
Neocortex basket cell,-40.1,spike threshold
Neocortex basket cell,4.82,sag amplitude
Neocortex basket cell,5.61,sag amplitude
Neocortex basket cell,0.378,spike rise time
Neocortex basket cell,0.363,spike rise time
Neocortex basket cell,0.626,spike half-width
Neocortex basket cell,0.629,spike half-width
Neocortex basket cell,181.5,maximum firing rate
Neocortex basket cell,192.5,maximum firing rate
Neocortex basket cell,0.797,adaptation ratio
Neocortex basket cell,0.921,adaptation ratio
Hippocampus CA1 pyramidal cell,0.83,sag ratio
Hippocampus CA1 pyramidal cell,-67.0,resting membrane potential
Hippocampus CA1 pyramidal cell,54.0,input resistance
Cochlear nucleus (ventral) bushy cell,0.9,spike half-width
Cochlear nucleus (ventral) bushy cell,100.5,input resistance
Cochlear nucleus (ventral) bushy cell,140.7,input resistance
Cochlear nucleus (ventral) bushy cell,0.9,spike half-width
Cochlear nucleus (ventral) bushy cell,1.01,membrane time constant
Cochlear nucleus (ventral) bushy cell,39.6,spike amplitude
Cochlear nucleus (ventral) bushy cell,1.1,spike half-width
Cochlear nucleus (ventral) bushy cell,1.02,membrane time constant
Cochlear nucleus (ventral) bushy cell,0.96,membrane time constant
Cochlear nucleus (ventral) bushy cell,0.7,membrane time constant
Cochlear nucleus (ventral) bushy cell,9.2,AHP amplitude
Cochlear nucleus (ventral) bushy cell,0.8,spike half-width
Cochlear nucleus (ventral) bushy cell,126.6,input resistance
Cochlear nucleus (ventral) bushy cell,40.4,spike amplitude
Cochlear nucleus (ventral) bushy cell,75.7,spike max decay slope
Cochlear nucleus (ventral) bushy cell,70.6,spike max decay slope
Cochlear nucleus (ventral) bushy cell,60.7,spike max decay slope
Cochlear nucleus (ventral) bushy cell,59.7,spike max decay slope
Cochlear nucleus (ventral) bushy cell,73.9,spike max decay slope
Cochlear nucleus (ventral) bushy cell,36.8,spike amplitude
Cochlear nucleus (ventral) bushy cell,1.05,membrane time constant
Cochlear nucleus (ventral) bushy cell,41.0,spike amplitude
Cochlear nucleus (ventral) bushy cell,-60.5,resting membrane potential
Cochlear nucleus (ventral) bushy cell,121.0,input resistance
Cochlear nucleus (ventral) bushy cell,-62.0,resting membrane potential
Cochlear nucleus (ventral) bushy cell,40.1,spike amplitude
Cochlear nucleus (ventral) bushy cell,-60.4,resting membrane potential
Cochlear nucleus (ventral) bushy cell,-61.5,resting membrane potential
Cochlear nucleus (ventral) bushy cell,-60.9,resting membrane potential
Cochlear nucleus (ventral) bushy cell,77.0,spike max rise slope
Cochlear nucleus (ventral) bushy cell,83.1,spike max rise slope
Cochlear nucleus (ventral) bushy cell,8.7,AHP amplitude
Cochlear nucleus (ventral) bushy cell,10.0,AHP amplitude
Cochlear nucleus (ventral) bushy cell,7.6,AHP amplitude
Cochlear nucleus (ventral) bushy cell,7.5,AHP amplitude
Cochlear nucleus (ventral) bushy cell,87.7,spike max rise slope
Cochlear nucleus (ventral) bushy cell,88.3,spike max rise slope
Cochlear nucleus (ventral) bushy cell,74.9,spike max rise slope
Cochlear nucleus (ventral) bushy cell,0.8,spike half-width
Cochlear nucleus (ventral) bushy cell,77.6,input resistance
Hippocampus CA1 pyramidal cell,0.78,spike half-width
Hippocampus CA1 pyramidal cell,0.85,spike half-width
Hippocampus CA1 pyramidal cell,86.7,spike amplitude
Hippocampus CA1 pyramidal cell,83.1,spike amplitude
Hippocampus CA1 pyramidal cell,-52.1,spike threshold
Hippocampus CA1 pyramidal cell,-49.6,spike threshold
Hippocampus CA1 pyramidal cell,-66.3,resting membrane potential
Hippocampus CA1 pyramidal cell,-66.6,resting membrane potential
Hippocampus CA1 pyramidal cell,56.2,input resistance
Hippocampus CA1 pyramidal cell,67.6,input resistance
Cerebellum Purkinje cell,364.0,spike max rise slope
Cerebellum Purkinje cell,0.234,spike half-width
Cerebellum Purkinje cell,-318.0,spike max decay slope
Cerebellum Purkinje cell,0.17,spike rise time
Cerebellum Purkinje cell,0.158,spike decay time
Hippocampus CA1 basket cell,11.5,spike decay time
Hippocampus CA1 basket cell,3.1,spike decay time
Hippocampus CA1 basket cell,4.3,spike decay time
Hippocampus CA1 basket cell,9.6,spike decay time
Other,10.8,spike decay time
Neocortex Martinotti cell,28.0,rheobase
Neocortex Martinotti cell,0.79,spike half-width
Neocortex Martinotti cell,27.4,membrane time constant
Neocortex Martinotti cell,361.0,input resistance
Neocortex Martinotti cell,13.6,FI slope
Neocortex Martinotti cell,-66.3,resting membrane potential
Neocortex basket cell,0.38,spike half-width
Neocortex basket cell,176.0,rheobase
Neocortex basket cell,7.9,membrane time constant
Neocortex basket cell,-72.2,resting membrane potential
Neocortex basket cell,178.0,input resistance
Neocortex basket cell,40.9,FI slope
Neocortex interneuron deep,83.0,input resistance
Neocortex basket cell,135.0,input resistance
Neocortex interneuron deep,7.4,membrane time constant
Neocortex basket cell,8.0,membrane time constant
Neocortex interneuron deep,11.6,FI slope
Neocortex basket cell,46.6,FI slope
Neocortex basket cell,0.2,spike half-width
Neocortex interneuron deep,0.37,spike half-width
Neocortex basket cell,163.0,rheobase
Neocortex interneuron deep,234.0,rheobase
Neocortex basket cell,-68.0,resting membrane potential
Neocortex interneuron deep,-65.0,resting membrane potential
Neocortex interneuron deep,0.15,adaptation ratio
Neocortex basket cell,0.7,adaptation ratio
Neocortex Martinotti cell,0.43,adaptation ratio
Neocortex basket cell,0.96,adaptation ratio
Other,48.6,input resistance
Other,-78.8,resting membrane potential
Other,0.51,firing frequency
Other,-75.1,resting membrane potential
Other,-62.8,resting membrane potential
Other,44.5,input resistance
Other,37.3,input resistance
Other,6.5,membrane time constant
Other,2.61,firing frequency
Other,1.58,firing frequency
Other,6.7,membrane time constant
Other,6.5,membrane time constant
Medial vestibular nucleus neuron,27.7,AHP amplitude
Other,28.6,AHP amplitude
Medial vestibular nucleus neuron,10.3,spontaneous firing rate
